yummy,convenient,spicy,fattening,greasy,fast,cheap,tasty,expensive,healthy,disgusting,Like,Age,VisitFrequency,Gender,GMM_Cluster,GMM_Max_Probability
No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,-1,51,Once a month,Male,1,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,60,Once a year,Female,5,0.9999682912511245
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,-4,49,Once a year,Female,2,0.9999999471154158
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Never,Female,7,0.9999448130082607
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,58,Never,Female,2,0.9999999440098131
No,No,No,No,No,Yes,Yes,No,No,No,No,-3,70,Once a month,Female,4,1.0
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+3,59,More than once a week,Male,6,0.9999999399043968
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,+1,54,Once a year,Female,4,0.9999999999993499
No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,-3,52,Every three months,Female,0,0.9999999999593054
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+4,22,Once a week,Female,1,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,53,Every three months,Female,5,0.9999999997524398
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,69,More than once a week,Female,6,0.9999999999995026
No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,20,Every three months,Male,2,0.9981216257818291
Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,+3,66,Once a month,Female,5,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,25,More than once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,I love it!+5,31,Once a week,Female,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a month,Female,6,0.9999999999995985
Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+3,56,Once a month,Female,5,0.9998067464186979
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,48,Once a year,Female,7,0.9999999978343652
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,54,Every three months,Female,4,0.9999997067537126
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,58,Once a month,Male,6,0.9999999999995026
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,42,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,38,Once a week,Female,5,0.9999935367592383
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,+2,28,Every three months,Male,7,0.9999998562370834
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,47,Once a week,Female,5,0.9999828688197381
No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,0,49,Once a year,Male,2,0.9998441741448123
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,0,40,Every three months,Female,7,0.9999999999087699
No,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,0,31,Once a week,Male,0,1.0
No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,50,Never,Male,7,0.9999996026592218
Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,-1,69,Once a year,Female,6,0.9999999999999618
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+4,40,Once a month,Female,6,0.9999999999995985
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,I love it!+5,30,Once a month,Male,5,0.9999999999991047
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-3,44,Once a year,Male,7,0.9999999999087699
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,32,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,67,Once a week,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,18,Once a week,Female,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-3,27,Once a year,Female,7,0.9999742942287393
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-1,61,Once a year,Female,2,0.9998026921367879
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,47,Once a year,Male,4,0.9999997067537126
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-4,20,Every three months,Male,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Male,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,65,Once a year,Female,4,0.9999997067537126
No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,64,Never,Male,3,0.9999999999831459
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,20,Once a week,Male,1,1.0
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,29,Once a month,Female,0,0.999999809540625
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,45,Once a month,Female,5,0.9999999837365473
Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,0,31,Once a year,Female,6,0.9999999999947207
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,41,Once a week,Female,5,0.9999999999999432
No,No,No,Yes,No,Yes,No,No,Yes,No,No,I hate it!-5,61,Never,Female,2,0.99999282983487
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,69,Never,Female,2,0.9999999440098131
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,+1,28,Once a month,Male,7,0.9999448130082607
No,Yes,No,No,No,Yes,No,No,No,No,No,+3,68,Once a month,Male,4,0.9999999999998899
No,No,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male,2,0.9998636757540085
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,0,56,Once a year,Female,5,0.9999999999999858
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,61,Once a year,Female,2,0.9997479123672843
No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,0,61,Once a week,Male,0,0.9999997331024036
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,63,Once a year,Male,4,0.9999997067537126
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,40,Once a month,Female,4,1.0
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,-1,36,Every three months,Male,7,0.9999998562370834
Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,30,Once a month,Female,5,1.0
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,32,Once a month,Female,5,0.9999828688197381
Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,No,I love it!+5,37,More than once a week,Male,6,0.9999999898062732
Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,+3,61,Once a week,Male,6,0.9999999999942979
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,34,Once a month,Female,5,0.9999999997524398
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,24,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+1,39,Once a month,Male,0,0.999999809540625
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,50,Every three months,Male,0,0.999999999884948
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,46,Once a month,Male,6,0.9999999091818387
Yes,Yes,No,Yes,No,Yes,No,No,Yes,No,No,+2,43,Once a month,Female,5,0.9999999981853023
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,36,Once a month,Male,5,0.9999682912511245
Yes,No,No,No,Yes,No,No,Yes,Yes,No,Yes,I hate it!-5,26,Once a week,Male,0,1.0
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,32,Once a month,Female,6,0.9999999999995985
No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,I hate it!-5,50,Never,Female,3,0.999999999999595
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,56,Once a year,Female,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,57,Every three months,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,25,Once a year,Male,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,47,Once a month,Female,7,0.9999999978343652
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,32,Once a year,Male,5,0.9999828688197381
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+3,32,Once a week,Female,6,0.9999999999995985
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,57,Every three months,Female,7,0.9999998562370834
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,42,Once a week,Male,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,31,Once a week,Male,4,0.9999997067537126
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-3,37,Once a year,Female,2,0.9999999440098131
Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,+3,33,Every three months,Female,6,0.9999999999999378
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,-1,46,Every three months,Female,5,0.9999935367592383
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,41,Every three months,Female,5,0.9999828688197381
No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,-1,60,Every three months,Male,4,0.9999999999998934
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,+2,42,Once a month,Male,6,0.9999999999995985
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,45,Once a month,Female,4,1.0
Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,36,Every three months,Male,5,1.0
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+2,44,Once a month,Male,6,0.9999994122053324
Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,+1,34,Once a month,Male,0,0.9999999354188905
Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,22,Every three months,Male,2,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,64,Every three months,Male,7,0.9999448130082607
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,36,Once a month,Male,6,0.9999999999995026
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Male,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,-4,69,Every three months,Female,4,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,I hate it!-5,64,Never,Female,7,0.9999742942287393
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,53,Every three months,Male,5,0.9999682912511245
No,Yes,No,Yes,Yes,No,No,No,No,No,Yes,-4,40,Never,Female,3,0.9999771352187812
No,Yes,No,Yes,No,Yes,Yes,No,No,No,Yes,-4,56,Every three months,Female,4,0.9999991978184772
No,Yes,No,Yes,Yes,No,No,Yes,No,No,No,+2,48,Once a week,Female,7,0.9999943208105817
Yes,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,62,Once a month,Female,6,1.0
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+2,65,Every three months,Female,6,0.9999999999995026
Yes,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+4,34,Once a month,Male,6,0.9999999399043968
No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,I hate it!-5,27,Never,Female,7,0.9999594009115814
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+2,25,Every three months,Male,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,-1,55,Once a year,Female,5,0.9999999999991047
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,38,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,+1,52,Once a month,Female,6,0.9999999091818387
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+3,36,Once a month,Male,6,0.9999974429760854
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,36,Once a month,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,0,52,Once a month,Female,5,0.9999828688197381
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,I love it!+5,49,Once a week,Female,5,0.9999999999997939
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Female,4,0.9999999999999964
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a month,Female,6,0.9999999999914913
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,+1,56,Every three months,Female,7,0.9999999999087699
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,+2,43,Once a week,Female,0,0.999999809540625
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,43,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,23,Every three months,Female,5,0.9999999881271472
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,+1,29,Once a week,Male,5,0.9999999999997939
No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,-4,32,Once a year,Male,3,0.9999999991009716
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,+1,35,Once a week,Female,7,0.9999742942287393
Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,+2,46,Once a week,Male,0,0.9999985482408453
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,55,Once a month,Female,4,0.9999999999999893
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,45,Once a week,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,No,+2,39,Every three months,Male,6,0.9999974429760854
No,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,-3,52,Once a year,Male,0,0.9999999999277707
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,53,Once a month,Female,5,0.9999828688197381
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,+3,44,Once a month,Male,5,0.9999999999998899
No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+1,55,Once a year,Female,7,0.9999999978343652
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,21,More than once a week,Female,6,0.9999999999995985
No,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+1,48,Once a month,Male,4,0.9999999999998721
Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,+3,57,Once a month,Female,0,0.9999985625504355
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,26,Once a week,Male,5,0.9999999997524398
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+2,52,Once a month,Female,6,0.9999999999999218
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+4,28,Once a week,Male,5,0.9999999997524398
No,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,58,Once a month,Male,4,0.9999999999996767
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,I love it!+5,34,Once a month,Male,6,0.9999999999999805
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,39,Every three months,Male,5,1.0
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,20,Once a month,Male,5,0.9999999837365473
No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,0,61,Once a year,Female,4,0.9999994830127563
Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,+4,35,Once a week,Male,0,0.9999998479375849
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,I hate it!-5,27,Never,Male,2,0.999986387260939
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,50,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,58,Once a month,Female,5,0.9999999999999432
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-1,29,Once a month,Female,7,0.9999448130082607
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,23,Once a week,Male,5,0.9999999997524398
Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,+2,47,Every three months,Male,6,0.9999999999789662
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,58,Every three months,Female,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,0,49,Once a month,Female,2,0.9997479123672843
Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,+1,27,Once a month,Female,5,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,20,More than once a week,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,Yes,0,43,Every three months,Male,0,0.999999677656525
No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,0,62,Every three months,Female,2,0.9999776649436288
No,No,No,Yes,No,Yes,Yes,No,No,No,Yes,I hate it!-5,55,Once a year,Female,2,0.9999964614915633
No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-3,62,Once a year,Female,7,1.0
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-3,56,Once a year,Female,7,0.9999448130082607
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-4,60,Never,Male,4,0.9999997067537126
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,42,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,26,Once a week,Female,5,0.9999999999999432
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,-1,55,Once a year,Female,4,0.9999997067537126
Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+4,42,Once a week,Male,5,0.9999935367592383
No,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,67,Once a year,Female,4,0.9999999999999893
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+3,43,Once a week,Male,5,0.9999828688197381
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,0,42,Once a month,Female,7,0.9999742942287393
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,50,Once a week,Female,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-4,20,Once a year,Female,7,0.9999448130082607
No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,I hate it!-5,50,Never,Male,2,0.9999999471154158
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,+1,60,Once a year,Male,5,0.9999999837365473
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,-1,21,Never,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,33,Once a month,Male,5,0.9999828688197381
Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,68,Every three months,Female,5,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+3,26,Once a month,Male,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+1,60,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,52,Every three months,Female,5,0.9999999997524398
Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,+4,70,Every three months,Female,6,0.9999999999914913
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,44,Once a year,Female,2,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+2,23,Every three months,Female,5,0.9999999997524398
No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,-1,62,Every three months,Female,4,0.9999997911296803
No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,+2,59,Once a week,Female,4,0.9999999999999982
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,66,Once a week,Female,6,0.9999999999995026
No,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,+1,44,Once a month,Male,0,0.9999999889037935
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,+3,25,Once a month,Male,5,0.9999999997524398
Yes,Yes,No,Yes,No,No,No,Yes,Yes,Yes,No,+3,41,Once a month,Male,6,0.9999994122053324
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+4,41,More than once a week,Male,6,0.9999999999999218
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,33,Once a week,Male,6,0.9999999999995026
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,+1,45,Once a month,Female,2,0.999986387260939
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,23,More than once a week,Female,6,0.9999999999995985
No,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,-4,52,Once a year,Female,2,0.9999999440098131
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,63,Once a month,Female,4,0.9999997067537126
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+4,48,Once a month,Female,1,1.0
No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,I hate it!-5,52,Never,Male,0,0.9999999595346488
No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I hate it!-5,50,Never,Male,2,1.0
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,+2,28,Once a month,Male,1,1.0
Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,+1,24,Once a month,Male,5,0.9999999881271472
No,Yes,No,Yes,No,No,No,No,Yes,No,No,0,45,Once a week,Female,3,0.9999997688285395
Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,No,+2,26,Every three months,Female,0,0.9999999744098401
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,Yes,+1,19,Every three months,Male,5,0.9999999999999467
No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,45,Every three months,Male,0,0.999999999884948
No,Yes,No,No,No,Yes,No,No,Yes,Yes,No,+1,44,Every three months,Male,0,0.999999999107323
Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,+2,47,Once a month,Male,5,0.9999999999999858
No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+3,28,Once a month,Male,4,1.0
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,+2,62,Every three months,Female,4,0.9999997067537126
Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,-1,33,Once a week,Male,1,1.0
Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,+3,67,Every three months,Female,6,0.9999999999999805
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+1,67,Once a year,Female,6,0.9999999999995026
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,+2,49,Once a month,Male,5,0.9999999900432197
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+4,33,Once a week,Female,5,0.9999999999999432
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,I love it!+5,51,More than once a week,Female,6,0.9999999999995026
Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,+3,52,Once a week,Female,6,0.9999999999995026
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,I love it!+5,30,More than once a week,Male,1,1.0
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,60,Once a month,Female,5,0.9999828688197381
No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,-3,47,Every three months,Female,2,0.9997479123672843
No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,+2,44,Once a month,Male,0,0.9999999914277238
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+2,43,Every three months,Female,5,0.9999828688197381
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,-2,46,Once a month,Male,7,0.9999742942287393
No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,+1,40,Once a month,Female,4,0.9999999999999964
No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,0,48,Once a year,Female,7,0.9999827456372965
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,Yes,0,53,Once a month,Female,2,0.999986387260939
Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,+4,35,Every three months,Male,5,0.9999828688197381
No,Yes,No,Yes,No,Yes,Yes,No,No,Yes,No,-4,51,Every three months,Male,4,0.9999999999993499
Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,+2,26,Once a month,Male,5,0.9999999999996234
No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,-2,46,Every three months,Female,2,0.9998026921367879
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,39,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,0,38,Once a year,Male,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,+4,40,Once a month,Female,5,0.9999682912511245
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,36,Once a month,Female,5,0.9999682912511245
No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,0,56,Never,Female,4,0.9999997067537126
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,I love it!+5,23,Once a month,Female,5,0.9999999999999432
Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,I love it!+5,39,Once a month,Female,5,0.9999682912511245
No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,-2,22,Every three months,Female,7,0.9999448130082607
Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,No,+3,27,Once a month,Male,6,0.9999999999999218
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,0,23,Every three months,Female,5,0.9999999999999432
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,+2,21,Every three months,Female,5,0.9999999999999432
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,+3,33,Every three months,Male,1,1.0
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,24,Never,Female,2,0.9999364419893985
Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,I love it!+5,22,More than once a week,Female,1,1.0
No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,I hate it!-5,54,Every three months,Female,2,0.9999364419893985
No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,-3,56,Every three months,Female,3,0.9999999693704589
